"Plot Title: P3.3"
"Date Time, GMT+02:00","Temp, °C (SEN S/N: 9761976)","Coupler Detached","Coupler Attached","Host Connected","Bad Battery","Good Battery","End Of File"
05/02/2017 12:29:40 PM,24.557,,,,,,
05/02/2017 12:29:51 PM,,Logged,,,,,
05/02/2017 12:51:37 PM,,,Logged,Logged,,,
05/02/2017 12:51:52 PM,,Logged,,,,,
05/02/2017 01:29:40 PM,24.484,,,,,,
05/02/2017 02:29:40 PM,24.823,,,,,,
05/02/2017 03:29:40 PM,24.823,,,,,,
05/02/2017 04:29:40 PM,24.895,,,,,,
05/02/2017 05:29:40 PM,24.968,,,,,,
05/02/2017 06:29:40 PM,24.677,,,,,,
05/02/2017 07:29:40 PM,24.436,,,,,,
05/02/2017 08:29:40 PM,24.171,,,,,,
05/02/2017 09:29:40 PM,23.881,,,,,,
05/02/2017 10:29:40 PM,23.617,,,,,,
05/02/2017 11:29:40 PM,23.376,,,,,,
05/03/2017 12:29:40 AM,23.160,,,,,,
05/03/2017 01:29:40 AM,22.992,,,,,,
05/03/2017 02:29:40 AM,22.848,,,,,,
05/03/2017 03:29:40 AM,22.729,,,,,,
05/03/2017 04:29:40 AM,22.561,,,,,,
05/03/2017 05:29:40 AM,22.417,,,,,,
05/03/2017 06:29:40 AM,22.274,,,,,,
05/03/2017 07:29:40 AM,22.178,,,,,,
05/03/2017 08:29:40 AM,22.441,,,,,,
05/03/2017 09:29:40 AM,21.795,,,,,,
05/03/2017 10:29:40 AM,20.817,,,,,,
05/03/2017 11:29:40 AM,24.847,,,,,,
05/03/2017 12:29:40 PM,12.098,,,,,,
05/03/2017 01:29:40 PM,16.010,,,,,,
05/03/2017 02:29:40 PM,16.987,,,,,,
05/03/2017 03:29:40 PM,14.792,,,,,,
05/03/2017 04:29:40 PM,25.355,,,,,,
05/03/2017 05:29:40 PM,32.098,,,,,,
05/03/2017 06:29:40 PM,29.991,,,,,,
05/03/2017 07:29:40 PM,20.317,,,,,,
05/03/2017 08:29:40 PM,14.290,,,,,,
05/03/2017 09:29:40 PM,9.312,,,,,,
05/03/2017 10:29:40 PM,8.245,,,,,,
05/03/2017 11:29:40 PM,7.970,,,,,,
05/04/2017 12:29:40 AM,7.870,,,,,,
05/04/2017 01:29:40 AM,7.820,,,,,,
05/04/2017 02:29:40 AM,7.544,,,,,,
05/04/2017 03:29:40 AM,7.167,,,,,,
05/04/2017 04:29:40 AM,7.368,,,,,,
05/04/2017 05:29:40 AM,7.670,,,,,,
05/04/2017 06:29:40 AM,7.920,,,,,,
05/04/2017 07:29:40 AM,8.045,,,,,,
05/04/2017 08:29:40 AM,8.543,,,,,,
05/04/2017 09:29:40 AM,9.188,,,,,,
05/04/2017 10:29:40 AM,10.271,,,,,,
05/04/2017 11:29:40 AM,11.127,,,,,,
05/04/2017 12:29:40 PM,13.401,,,,,,
05/04/2017 01:29:40 PM,16.558,,,,,,
05/04/2017 02:29:40 PM,18.200,,,,,,
05/04/2017 03:29:40 PM,19.222,,,,,,
05/04/2017 04:29:40 PM,27.579,,,,,,
05/04/2017 05:29:40 PM,32.768,,,,,,
05/04/2017 06:29:40 PM,29.240,,,,,,
05/04/2017 07:29:40 PM,21.390,,,,,,
05/04/2017 08:29:40 PM,14.745,,,,,,
05/04/2017 09:29:40 PM,12.268,,,,,,
05/04/2017 10:29:40 PM,11.127,,,,,,
05/04/2017 11:29:40 PM,11.078,,,,,,
05/05/2017 12:29:40 AM,11.102,,,,,,
05/05/2017 01:29:40 AM,11.492,,,,,,
05/05/2017 02:29:40 AM,11.589,,,,,,
05/05/2017 03:29:40 AM,11.273,,,,,,
05/05/2017 04:29:40 AM,9.163,,,,,,
05/05/2017 05:29:40 AM,8.220,,,,,,
05/05/2017 06:29:40 AM,8.916,,,,,,
05/05/2017 07:29:40 AM,9.534,,,,,,
05/05/2017 08:29:40 AM,8.543,,,,,,
05/05/2017 09:29:40 AM,8.668,,,,,,
05/05/2017 10:29:40 AM,8.916,,,,,,
05/05/2017 11:29:40 AM,9.731,,,,,,
05/05/2017 12:29:40 PM,11.127,,,,,,
05/05/2017 01:29:40 PM,16.654,,,,,,
05/05/2017 02:29:40 PM,13.930,,,,,,
05/05/2017 03:29:40 PM,15.318,,,,,,
05/05/2017 04:29:40 PM,25.186,,,,,,
05/05/2017 05:29:40 PM,30.142,,,,,,
05/05/2017 06:29:40 PM,13.858,,,,,,
05/05/2017 07:29:40 PM,10.345,,,,,,
05/05/2017 08:29:40 PM,8.767,,,,,,
05/05/2017 09:29:40 PM,7.670,,,,,,
05/05/2017 10:29:40 PM,6.737,,,,,,
05/05/2017 11:29:40 PM,5.949,,,,,,
05/06/2017 12:29:40 AM,5.462,,,,,,
05/06/2017 01:29:40 AM,5.308,,,,,,
05/06/2017 02:29:40 AM,5.076,,,,,,
05/06/2017 03:29:40 AM,4.662,,,,,,
05/06/2017 04:29:40 AM,4.506,,,,,,
05/06/2017 05:29:40 AM,4.168,,,,,,
05/06/2017 06:29:40 AM,3.722,,,,,,
05/06/2017 07:29:40 AM,3.406,,,,,,
05/06/2017 08:29:40 AM,3.512,,,,,,
05/06/2017 09:29:40 AM,3.775,,,,,,
05/06/2017 10:29:40 AM,4.973,,,,,,
05/06/2017 11:29:40 AM,6.179,,,,,,
05/06/2017 12:29:40 PM,7.945,,,,,,
05/06/2017 01:29:40 PM,15.533,,,,,,
05/06/2017 02:29:40 PM,16.082,,,,,,
05/06/2017 03:29:40 PM,15.079,,,,,,
05/06/2017 04:29:40 PM,28.543,,,,,,
05/06/2017 05:29:40 PM,35.743,,,,,,
05/06/2017 06:29:40 PM,30.142,,,,,,
05/06/2017 07:29:40 PM,21.581,,,,,,
05/06/2017 08:29:40 PM,15.318,,,,,,
05/06/2017 09:29:40 PM,8.841,,,,,,
05/06/2017 10:29:40 PM,6.940,,,,,,
05/06/2017 11:29:40 PM,5.949,,,,,,
05/07/2017 12:29:40 AM,5.334,,,,,,
05/07/2017 01:29:40 AM,5.128,,,,,,
05/07/2017 02:29:40 AM,4.792,,,,,,
05/07/2017 03:29:40 AM,4.402,,,,,,
05/07/2017 04:29:40 AM,4.246,,,,,,
05/07/2017 05:29:40 AM,4.220,,,,,,
05/07/2017 06:29:40 AM,5.719,,,,,,
05/07/2017 07:29:40 AM,5.539,,,,,,
05/07/2017 08:29:40 AM,5.154,,,,,,
05/07/2017 09:29:40 AM,5.128,,,,,,
05/07/2017 10:29:40 AM,6.737,,,,,,
05/07/2017 11:29:40 AM,8.270,,,,,,
05/07/2017 12:29:40 PM,10.492,,,,,,
05/07/2017 01:29:40 PM,17.629,,,,,,
05/07/2017 02:29:40 PM,18.033,,,,,,
05/07/2017 03:29:40 PM,17.629,,,,,,
05/07/2017 04:29:40 PM,22.848,,,,,,
05/07/2017 05:29:40 PM,35.075,,,,,,
05/07/2017 06:29:40 PM,33.157,,,,,,
05/07/2017 07:29:40 PM,25.307,,,,,,
05/07/2017 08:29:40 PM,17.249,,,,,,
05/07/2017 09:29:40 PM,10.638,,,,,,
05/07/2017 10:29:40 PM,8.543,,,,,,
05/07/2017 11:29:40 PM,7.670,,,,,,
05/08/2017 12:29:40 AM,6.965,,,,,,
05/08/2017 01:29:40 AM,6.839,,,,,,
05/08/2017 02:29:40 AM,6.763,,,,,,
05/08/2017 03:29:40 AM,6.306,,,,,,
05/08/2017 04:29:40 AM,5.872,,,,,,
05/08/2017 05:29:40 AM,5.514,,,,,,
05/08/2017 06:29:40 AM,5.231,,,,,,
05/08/2017 07:29:40 AM,5.128,,,,,,
05/08/2017 08:29:40 AM,5.411,,,,,,
05/08/2017 09:29:40 AM,5.975,,,,,,
05/08/2017 10:29:40 AM,7.419,,,,,,
05/08/2017 11:29:40 AM,9.114,,,,,,
05/08/2017 12:29:40 PM,11.029,,,,,,
05/08/2017 01:29:40 PM,18.010,,,,,,
05/08/2017 02:29:40 PM,18.485,,,,,,
05/08/2017 03:29:40 PM,18.081,,,,,,
05/08/2017 04:29:40 PM,29.640,,,,,,
05/08/2017 05:29:40 PM,36.552,,,,,,
05/08/2017 06:29:40 PM,32.484,,,,,,
05/08/2017 07:29:40 PM,24.798,,,,,,
05/08/2017 08:29:40 PM,17.796,,,,,,
05/08/2017 09:29:40 PM,10.980,,,,,,
05/08/2017 10:29:40 PM,9.114,,,,,,
05/08/2017 11:29:40 PM,7.645,,,,,,
05/09/2017 12:29:40 AM,8.841,,,,,,
05/09/2017 01:29:40 AM,9.213,,,,,,
05/09/2017 02:29:40 AM,9.287,,,,,,
05/09/2017 03:29:40 AM,9.262,,,,,,
05/09/2017 04:29:40 AM,9.336,,,,,,
05/09/2017 05:29:40 AM,9.534,,,,,,
05/09/2017 06:29:40 AM,9.460,,,,,,
05/09/2017 07:29:40 AM,9.558,,,,,,
05/09/2017 08:29:40 AM,9.460,,,,,,
05/09/2017 09:29:40 AM,10.173,,,,,,
05/09/2017 10:29:40 AM,10.394,,,,,,
05/09/2017 11:29:40 AM,11.637,,,,,,
05/09/2017 12:29:40 PM,13.209,,,,,,
05/09/2017 01:29:40 PM,18.129,,,,,,
05/09/2017 02:29:40 PM,18.985,,,,,,
05/09/2017 03:29:40 PM,18.889,,,,,,
05/09/2017 04:29:40 PM,27.801,,,,,,
05/09/2017 05:29:40 PM,31.052,,,,,,
05/09/2017 06:29:40 PM,29.615,,,,,,
05/09/2017 07:29:40 PM,20.507,,,,,,
05/09/2017 08:29:40 PM,14.721,,,,,,
05/09/2017 09:29:40 PM,10.883,,,,,,
05/09/2017 10:29:40 PM,8.817,,,,,,
05/09/2017 11:29:40 PM,7.720,,,,,,
05/10/2017 12:29:40 AM,7.192,,,,,,
05/10/2017 01:29:40 AM,6.914,,,,,,
05/10/2017 02:29:40 AM,6.712,,,,,,
05/10/2017 03:29:40 AM,6.509,,,,,,
05/10/2017 04:29:40 AM,6.408,,,,,,
05/10/2017 05:29:40 AM,6.788,,,,,,
05/10/2017 06:29:40 AM,7.419,,,,,,
05/10/2017 07:29:40 AM,7.745,,,,,,
05/10/2017 08:29:40 AM,7.995,,,,,,
05/10/2017 09:29:40 AM,8.817,,,,,,
05/10/2017 10:29:40 AM,10.149,,,,,,
05/10/2017 11:29:40 AM,10.663,,,,,,
05/10/2017 12:29:40 PM,10.907,,,,,,
05/10/2017 01:29:40 PM,16.225,,,,,,
05/10/2017 02:29:40 PM,16.892,,,,,,
05/10/2017 03:29:40 PM,16.820,,,,,,
05/10/2017 04:29:40 PM,18.010,,,,,,
05/10/2017 05:29:40 PM,16.963,,,,,,
05/10/2017 06:29:40 PM,12.534,,,,,,
05/10/2017 07:29:40 PM,10.345,,,,,,
05/10/2017 08:29:40 PM,8.817,,,,,,
05/10/2017 09:29:40 PM,7.368,,,,,,
05/10/2017 10:29:40 PM,6.560,,,,,,
05/10/2017 11:29:40 PM,6.077,,,,,,
05/11/2017 12:29:40 AM,6.965,,,,,,
05/11/2017 01:29:40 AM,7.091,,,,,,
05/11/2017 02:29:40 AM,6.509,,,,,,
05/11/2017 03:29:40 AM,6.026,,,,,,
05/11/2017 04:29:40 AM,5.616,,,,,,
05/11/2017 05:29:40 AM,4.895,,,,,,
05/11/2017 06:29:40 AM,4.272,,,,,,
05/11/2017 07:29:40 AM,4.298,,,,,,
05/11/2017 08:29:40 AM,4.376,,,,,,
05/11/2017 09:29:40 AM,4.792,,,,,,
05/11/2017 10:29:40 AM,4.662,,,,,,
05/11/2017 11:29:40 AM,6.128,,,,,,
05/11/2017 12:29:40 PM,7.293,,,,,,
05/11/2017 01:29:40 PM,8.419,,,,,,
05/11/2017 02:29:40 PM,6.940,,,,,,
05/11/2017 03:29:40 PM,5.924,,,,,,
05/11/2017 04:29:40 PM,6.661,,,,,,
05/11/2017 05:29:40 PM,5.872,,,,,,
05/11/2017 06:29:40 PM,6.306,,,,,,
05/11/2017 07:29:40 PM,5.693,,,,,,
05/11/2017 08:29:40 PM,5.024,,,,,,
05/11/2017 09:29:40 PM,3.670,,,,,,
05/11/2017 10:29:40 PM,3.827,,,,,,
05/11/2017 11:29:40 PM,3.854,,,,,,
05/12/2017 12:29:40 AM,3.433,,,,,,
05/12/2017 01:29:40 AM,3.433,,,,,,
05/12/2017 02:29:40 AM,3.354,,,,,,
05/12/2017 03:29:40 AM,3.827,,,,,,
05/12/2017 04:29:40 AM,3.301,,,,,,
05/12/2017 05:29:40 AM,2.850,,,,,,
05/12/2017 06:29:40 AM,3.195,,,,,,
05/12/2017 07:29:40 AM,3.459,,,,,,
05/12/2017 08:29:40 AM,3.932,,,,,,
05/12/2017 09:29:40 AM,4.584,,,,,,
05/12/2017 10:29:40 AM,5.719,,,,,,
05/12/2017 11:29:40 AM,6.128,,,,,,
05/12/2017 12:29:40 PM,6.687,,,,,,
05/12/2017 01:29:40 PM,7.519,,,,,,
05/12/2017 02:29:40 PM,6.914,,,,,,
05/12/2017 03:29:40 PM,7.770,,,,,,
05/12/2017 04:29:40 PM,7.015,,,,,,
05/12/2017 05:29:40 PM,8.767,,,,,,
05/12/2017 06:29:40 PM,6.712,,,,,,
05/12/2017 07:29:40 PM,6.255,,,,,,
05/12/2017 08:29:40 PM,6.051,,,,,,
05/12/2017 09:29:40 PM,5.668,,,,,,
05/12/2017 10:29:40 PM,5.462,,,,,,
05/12/2017 11:29:40 PM,4.740,,,,,,
05/13/2017 12:29:40 AM,4.454,,,,,,
05/13/2017 01:29:40 AM,4.246,,,,,,
05/13/2017 02:29:40 AM,3.985,,,,,,
05/13/2017 03:29:40 AM,4.298,,,,,,
05/13/2017 04:29:40 AM,3.406,,,,,,
05/13/2017 05:29:40 AM,2.770,,,,,,
05/13/2017 06:29:40 AM,2.074,,,,,,
05/13/2017 07:29:40 AM,2.236,,,,,,
05/13/2017 08:29:40 AM,2.503,,,,,,
05/13/2017 09:29:40 AM,2.930,,,,,,
05/13/2017 10:29:40 AM,4.115,,,,,,
05/13/2017 11:29:40 AM,6.204,,,,,,
05/13/2017 12:29:40 PM,7.594,,,,,,
05/13/2017 01:29:40 PM,11.662,,,,,,
05/13/2017 02:29:40 PM,11.734,,,,,,
05/13/2017 03:29:40 PM,11.005,,,,,,
05/13/2017 04:29:40 PM,10.492,,,,,,
05/13/2017 05:29:40 PM,11.224,,,,,,
05/13/2017 06:29:40 PM,8.419,,,,,,
05/13/2017 07:29:40 PM,7.619,,,,,,
05/13/2017 08:29:40 PM,7.091,,,,,,
05/13/2017 09:29:40 PM,6.763,,,,,,
05/13/2017 10:29:40 PM,6.560,,,,,,
05/13/2017 11:29:40 PM,6.408,,,,,,
05/14/2017 12:29:40 AM,5.102,,,,,,
05/14/2017 01:29:40 AM,4.089,,,,,,
05/14/2017 02:29:40 AM,3.354,,,,,,
05/14/2017 03:29:40 AM,3.089,,,,,,
05/14/2017 04:29:40 AM,3.380,,,,,,
05/14/2017 05:29:40 AM,3.406,,,,,,
05/14/2017 06:29:40 AM,3.433,,,,,,
05/14/2017 07:29:40 AM,3.380,,,,,,
05/14/2017 08:29:40 AM,3.485,,,,,,
05/14/2017 09:29:40 AM,3.906,,,,,,
05/14/2017 10:29:40 AM,5.205,,,,,,
05/14/2017 11:29:40 AM,6.458,,,,,,
05/14/2017 12:29:40 PM,8.220,,,,,,
05/14/2017 01:29:40 PM,11.224,,,,,,
05/14/2017 02:29:40 PM,12.509,,,,,,
05/14/2017 03:29:40 PM,12.847,,,,,,
05/14/2017 04:29:40 PM,11.929,,,,,,
05/14/2017 05:29:40 PM,14.936,,,,,,
05/14/2017 06:29:40 PM,14.218,,,,,,
05/14/2017 07:29:40 PM,13.594,,,,,,
05/14/2017 08:29:40 PM,12.582,,,,,,
05/14/2017 09:29:40 PM,8.419,,,,,,
05/14/2017 10:29:40 PM,6.636,,,,,,
05/14/2017 11:29:40 PM,6.153,,,,,,
05/15/2017 12:29:40 AM,5.591,,,,,,
05/15/2017 01:29:40 AM,5.154,,,,,,
05/15/2017 02:29:40 AM,4.895,,,,,,
05/15/2017 03:29:40 AM,4.869,,,,,,
05/15/2017 04:29:40 AM,4.584,,,,,,
05/15/2017 05:29:40 AM,4.584,,,,,,
05/15/2017 06:29:40 AM,4.168,,,,,,
05/15/2017 07:29:40 AM,4.089,,,,,,
05/15/2017 08:29:40 AM,4.532,,,,,,
05/15/2017 09:29:40 AM,5.179,,,,,,
05/15/2017 10:29:40 AM,6.560,,,,,,
05/15/2017 11:29:40 AM,7.995,,,,,,
05/15/2017 12:29:40 PM,9.854,,,,,,
05/15/2017 01:29:40 PM,16.058,,,,,,
05/15/2017 02:29:40 PM,16.749,,,,,,
05/15/2017 03:29:40 PM,17.249,,,,,,
05/15/2017 04:29:40 PM,24.653,,,,,,
05/15/2017 05:29:40 PM,29.190,,,,,,
05/15/2017 06:29:40 PM,26.426,,,,,,
05/15/2017 07:29:40 PM,21.557,,,,,,
05/15/2017 08:29:40 PM,14.936,,,,,,
05/15/2017 09:29:40 PM,10.858,,,,,,
05/15/2017 10:29:40 PM,9.139,,,,,,
05/15/2017 11:29:40 PM,8.866,,,,,,
05/16/2017 12:29:40 AM,8.543,,,,,,
05/16/2017 01:29:40 AM,7.945,,,,,,
05/16/2017 02:29:40 AM,7.895,,,,,,
05/16/2017 03:29:40 AM,7.795,,,,,,
05/16/2017 04:29:40 AM,7.167,,,,,,
05/16/2017 05:29:40 AM,7.217,,,,,,
05/16/2017 06:29:40 AM,7.015,,,,,,
05/16/2017 07:29:40 AM,6.813,,,,,,
05/16/2017 08:29:40 AM,7.519,,,,,,
05/16/2017 09:29:40 AM,8.145,,,,,,
05/16/2017 10:29:40 AM,9.509,,,,,,
05/16/2017 11:29:40 AM,11.492,,,,,,
05/16/2017 12:29:40 PM,14.194,,,,,,
05/16/2017 01:29:40 PM,17.653,,,,,,
05/16/2017 02:29:40 PM,17.558,,,,,,
05/16/2017 03:29:40 PM,16.177,,,,,,
05/16/2017 04:29:40 PM,21.390,,,,,,
05/16/2017 05:29:40 PM,26.158,,,,,,
05/16/2017 06:29:40 PM,20.365,,,,,,
05/16/2017 07:29:40 PM,22.729,,,,,,
05/16/2017 08:29:40 PM,16.654,,,,,,
05/16/2017 09:29:40 PM,11.224,,,,,,
05/16/2017 10:29:40 PM,9.336,,,,,,
05/16/2017 11:29:40 PM,9.213,,,,,,
05/17/2017 12:29:40 AM,8.817,,,,,,
05/17/2017 01:29:40 AM,8.394,,,,,,
05/17/2017 02:29:40 AM,8.344,,,,,,
05/17/2017 03:29:40 AM,8.095,,,,,,
05/17/2017 04:29:40 AM,7.995,,,,,,
05/17/2017 05:29:40 AM,7.619,,,,,,
05/17/2017 06:29:40 AM,7.945,,,,,,
05/17/2017 07:29:40 AM,7.970,,,,,,
05/17/2017 08:29:40 AM,8.220,,,,,,
05/17/2017 09:29:40 AM,10.247,,,,,,
05/17/2017 10:29:40 AM,12.195,,,,,,
05/17/2017 11:29:40 AM,13.666,,,,,,
05/17/2017 12:29:40 PM,13.738,,,,,,
05/17/2017 01:29:40 PM,19.341,,,,,,
05/17/2017 02:29:40 PM,19.436,,,,,,
05/17/2017 03:29:40 PM,20.103,,,,,,
05/17/2017 04:29:40 PM,23.857,,,,,,
05/17/2017 05:29:40 PM,28.990,,,,,,
05/17/2017 06:29:40 PM,27.014,,,,,,
05/17/2017 07:29:40 PM,19.651,,,,,,
05/17/2017 08:29:40 PM,17.748,,,,,,
05/17/2017 09:29:40 PM,12.147,,,,,,
05/17/2017 10:29:40 PM,9.682,,,,,,
05/17/2017 11:29:40 PM,8.543,,,,,,
05/18/2017 12:29:40 AM,7.720,,,,,,
05/18/2017 01:29:40 AM,7.469,,,,,,
05/18/2017 02:29:40 AM,7.870,,,,,,
05/18/2017 03:29:40 AM,8.817,,,,,,
05/18/2017 04:29:40 AM,8.270,,,,,,
05/18/2017 05:29:40 AM,7.494,,,,,,
05/18/2017 06:29:40 AM,7.519,,,,,,
05/18/2017 07:29:40 AM,7.444,,,,,,
05/18/2017 08:29:40 AM,7.393,,,,,,
05/18/2017 09:29:40 AM,7.569,,,,,,
05/18/2017 10:29:40 AM,8.394,,,,,,
05/18/2017 11:29:40 AM,10.124,,,,,,
05/18/2017 12:29:40 PM,11.929,,,,,,
05/18/2017 01:29:40 PM,14.002,,,,,,
05/18/2017 02:29:40 PM,15.652,,,,,,
05/18/2017 03:29:40 PM,15.652,,,,,,
05/18/2017 04:29:40 PM,20.698,,,,,,
05/18/2017 05:29:40 PM,30.167,,,,,,
05/18/2017 06:29:40 PM,31.179,,,,,,
05/18/2017 07:29:40 PM,25.574,,,,,,
05/18/2017 08:29:40 PM,16.796,,,,,,
05/18/2017 09:29:40 PM,9.805,,,,,,
05/18/2017 10:29:40 PM,6.965,,,,,,
05/18/2017 11:29:40 PM,5.975,,,,,,
05/19/2017 12:29:40 AM,5.385,,,,,,
05/19/2017 01:29:40 AM,5.128,,,,,,
05/19/2017 02:29:40 AM,4.921,,,,,,
05/19/2017 03:29:40 AM,4.792,,,,,,
05/19/2017 04:29:40 AM,4.662,,,,,,
05/19/2017 05:29:40 AM,5.308,,,,,,
05/19/2017 06:29:40 AM,5.024,,,,,,
05/19/2017 07:29:40 AM,4.220,,,,,,
05/19/2017 08:29:40 AM,6.000,,,,,,
05/19/2017 09:29:40 AM,6.102,,,,,,
05/19/2017 10:29:40 AM,7.142,,,,,,
05/19/2017 11:29:40 AM,8.295,,,,,,
05/19/2017 12:29:40 PM,10.124,,,,,,
05/19/2017 01:29:40 PM,17.177,,,,,,
05/19/2017 02:29:40 PM,17.249,,,,,,
05/19/2017 03:29:40 PM,18.295,,,,,,
05/19/2017 04:29:40 PM,22.944,,,,,,
05/19/2017 05:29:40 PM,29.565,,,,,,
05/19/2017 06:29:40 PM,32.846,,,,,,
05/19/2017 07:29:40 PM,27.505,,,,,,
05/19/2017 08:29:40 PM,18.438,,,,,,
05/19/2017 09:29:40 PM,11.783,,,,,,
05/19/2017 10:29:40 PM,8.916,,,,,,
05/19/2017 11:29:40 PM,8.045,,,,,,
05/20/2017 12:29:40 AM,7.142,,,,,,
05/20/2017 01:29:40 AM,6.636,,,,,,
05/20/2017 02:29:40 AM,6.230,,,,,,
05/20/2017 03:29:40 AM,7.091,,,,,,
05/20/2017 04:29:40 AM,7.695,,,,,,
05/20/2017 05:29:40 AM,7.720,,,,,,
05/20/2017 06:29:40 AM,7.870,,,,,,
05/20/2017 07:29:40 AM,8.195,,,,,,
05/20/2017 08:29:40 AM,8.369,,,,,,
05/20/2017 09:29:40 AM,7.820,,,,,,
05/20/2017 10:29:40 AM,8.841,,,,,,
05/20/2017 11:29:40 AM,10.443,,,,,,
05/20/2017 12:29:40 PM,12.122,,,,,,
05/20/2017 01:29:40 PM,19.365,,,,,,
05/20/2017 02:29:40 PM,19.460,,,,,,
05/20/2017 03:29:40 PM,20.460,,,,,,
05/20/2017 04:29:40 PM,25.598,,,,,,
05/20/2017 05:29:40 PM,33.495,,,,,,
05/20/2017 06:29:40 PM,35.182,,,,,,
05/20/2017 07:29:40 PM,30.268,,,,,,
05/20/2017 08:29:40 PM,20.984,,,,,,
05/20/2017 09:29:40 PM,13.882,,,,,,
05/20/2017 10:29:40 PM,11.175,,,,,,
05/20/2017 11:29:40 PM,9.780,,,,,,
05/21/2017 12:29:40 AM,9.114,,,,,,
05/21/2017 01:29:40 AM,10.932,,,,,,
05/21/2017 02:29:40 AM,12.074,,,,,,
05/21/2017 03:29:40 AM,11.953,,,,,,
05/21/2017 04:29:40 AM,12.050,,,,,,
05/21/2017 05:29:40 AM,12.558,,,,,,
05/21/2017 06:29:40 AM,13.040,,,,,,
05/21/2017 07:29:40 AM,13.185,,,,,,
05/21/2017 08:29:40 AM,13.834,,,,,,
05/21/2017 09:29:40 AM,14.984,,,,,,
05/21/2017 10:29:40 AM,16.487,,,,,,
05/21/2017 11:29:40 AM,18.152,,,,,,
05/21/2017 12:29:40 PM,19.341,,,,,,
05/21/2017 01:29:40 PM,21.461,,,,,,
05/21/2017 02:29:40 PM,19.603,,,,,,
05/21/2017 03:29:40 PM,17.962,,,,,,
05/21/2017 04:29:40 PM,18.438,,,,,,
05/21/2017 05:29:40 PM,18.366,,,,,,
05/21/2017 06:29:40 PM,17.439,,,,,,
05/21/2017 07:29:40 PM,16.987,,,,,,
05/21/2017 08:29:40 PM,15.605,,,,,,
05/21/2017 09:29:40 PM,14.721,,,,,,
05/21/2017 10:29:40 PM,14.409,,,,,,
05/21/2017 11:29:40 PM,14.098,,,,,,
05/22/2017 12:29:40 AM,14.194,,,,,,
05/22/2017 01:29:40 AM,14.074,,,,,,
05/22/2017 02:29:40 AM,14.098,,,,,,
05/22/2017 03:29:40 AM,14.409,,,,,,
05/22/2017 04:29:40 AM,13.906,,,,,,
05/22/2017 05:29:40 AM,13.473,,,,,,
05/22/2017 06:29:40 AM,13.161,,,,,,
05/22/2017 07:29:40 AM,12.703,,,,,,
05/22/2017 08:29:40 AM,12.799,,,,,,
05/22/2017 09:29:40 AM,12.630,,,,,,
05/22/2017 10:29:40 AM,12.775,,,,,,
05/22/2017 11:29:40 AM,13.305,,,,,,
05/22/2017 12:29:40 PM,14.457,,,,,,
05/22/2017 01:29:40 PM,21.127,,,,,,
05/22/2017 02:29:40 PM,21.175,,,,,,
05/22/2017 03:29:40 PM,21.843,,,,,,
05/22/2017 04:29:40 PM,26.182,,,,,,
05/22/2017 05:29:40 PM,32.898,,,,,,
05/22/2017 06:29:40 PM,35.958,,,,,,
05/22/2017 07:29:40 PM,30.318,,,,,,
05/22/2017 08:29:40 PM,22.011,,,,,,
05/22/2017 09:29:40 PM,15.199,,,,,,
05/22/2017 10:29:40 PM,12.219,,,,,,
05/22/2017 11:29:40 PM,10.980,,,,,,
05/23/2017 12:29:40 AM,10.149,,,,,,
05/23/2017 01:29:40 AM,10.001,,,,,,
05/23/2017 02:29:40 AM,9.903,,,,,,
05/23/2017 03:29:40 AM,10.467,,,,,,
05/23/2017 04:29:40 AM,11.200,,,,,,
05/23/2017 05:29:40 AM,10.663,,,,,,
05/23/2017 06:29:40 AM,10.051,,,,,,
05/23/2017 07:29:40 AM,10.492,,,,,,
05/23/2017 08:29:40 AM,10.492,,,,,,
05/23/2017 09:29:40 AM,11.029,,,,,,
05/23/2017 10:29:40 AM,12.364,,,,,,
05/23/2017 11:29:40 AM,13.762,,,,,,
05/23/2017 12:29:40 PM,15.079,,,,,,
05/23/2017 01:29:40 PM,20.460,,,,,,
05/23/2017 02:29:40 PM,20.650,,,,,,
05/23/2017 03:29:40 PM,19.698,,,,,,
05/23/2017 04:29:40 PM,16.415,,,,,,
05/23/2017 05:29:40 PM,18.366,,,,,,
05/23/2017 06:29:40 PM,31.689,,,,,,
05/23/2017 07:29:40 PM,28.320,,,,,,
05/23/2017 08:29:40 PM,20.650,,,,,,
05/23/2017 09:29:40 PM,14.768,,,,,,
05/23/2017 10:29:40 PM,12.243,,,,,,
05/23/2017 11:29:40 PM,11.589,,,,,,
05/24/2017 12:29:40 AM,11.273,,,,,,
05/24/2017 01:29:40 AM,10.834,,,,,,
05/24/2017 02:29:40 AM,10.565,,,,,,
05/24/2017 03:29:40 AM,10.369,,,,,,
