"Plot Title: H1"
"Date Time, GMT+02:00","Temp, °C (SEN S/N: 20489858)","Coupler Detached","Coupler Attached","Host Connected","End Of File"
06/05/2019 07:57:42 AM,26.353,,,,
06/05/2019 07:58:00 AM,,Logged,,,
06/05/2019 08:57:42 AM,25.040,,,,
06/05/2019 09:57:42 AM,21.246,,,,
06/05/2019 10:57:42 AM,18.152,,,,
06/05/2019 11:57:42 AM,19.984,,,,
06/05/2019 12:57:42 PM,21.724,,,,
06/05/2019 01:57:42 PM,10.761,,,,
06/05/2019 02:57:42 PM,11.151,,,,
06/05/2019 03:57:42 PM,12.823,,,,
06/05/2019 04:57:42 PM,15.414,,,,
06/05/2019 05:57:42 PM,15.294,,,,
06/05/2019 06:57:42 PM,13.209,,,,
06/05/2019 07:57:42 PM,11.516,,,,
06/05/2019 08:57:42 PM,10.418,,,,
06/05/2019 09:57:42 PM,9.361,,,,
06/05/2019 10:57:42 PM,8.245,,,,
06/05/2019 11:57:42 PM,7.242,,,,
06/06/2019 12:57:42 AM,6.813,,,,
06/06/2019 01:57:42 AM,6.484,,,,
06/06/2019 02:57:42 AM,6.331,,,,
06/06/2019 03:57:42 AM,5.975,,,,
06/06/2019 04:57:42 AM,6.382,,,,
06/06/2019 05:57:42 AM,6.458,,,,
06/06/2019 06:57:42 AM,6.839,,,,
06/06/2019 07:57:42 AM,7.318,,,,
06/06/2019 08:57:42 AM,7.268,,,,
06/06/2019 09:57:42 AM,7.720,,,,
06/06/2019 10:57:42 AM,8.419,,,,
06/06/2019 11:57:42 AM,9.410,,,,
06/06/2019 12:57:42 PM,10.712,,,,
06/06/2019 01:57:42 PM,11.613,,,,
06/06/2019 02:57:42 PM,12.413,,,,
06/06/2019 03:57:42 PM,13.209,,,,
06/06/2019 04:57:42 PM,24.653,,,,
06/06/2019 05:57:42 PM,29.640,,,,
06/06/2019 06:57:42 PM,26.329,,,,
06/06/2019 07:57:42 PM,23.809,,,,
06/06/2019 08:57:42 PM,17.748,,,,
06/06/2019 09:57:42 PM,12.654,,,,
06/06/2019 10:57:42 PM,11.053,,,,
06/06/2019 11:57:42 PM,11.224,,,,
06/07/2019 12:57:42 AM,11.029,,,,
06/07/2019 01:57:42 AM,10.467,,,,
06/07/2019 02:57:42 AM,10.345,,,,
06/07/2019 03:57:42 AM,10.173,,,,
06/07/2019 04:57:42 AM,10.001,,,,
06/07/2019 05:57:42 AM,9.139,,,,
06/07/2019 06:57:42 AM,9.015,,,,
06/07/2019 07:57:42 AM,9.015,,,,
06/07/2019 08:57:42 AM,9.089,,,,
06/07/2019 09:57:42 AM,9.262,,,,
06/07/2019 10:57:42 AM,9.805,,,,
06/07/2019 11:57:42 AM,10.467,,,,
06/07/2019 12:57:42 PM,11.273,,,,
06/07/2019 01:57:42 PM,12.074,,,,
06/07/2019 02:57:42 PM,12.968,,,,
06/07/2019 03:57:42 PM,13.690,,,,
06/07/2019 04:57:42 PM,25.380,,,,
06/07/2019 05:57:42 PM,30.900,,,,
