"Plot Title: BER_01"
"Date Time, GMT+01:00","Temp, °C (SEN S/N: 20489859)","Coupler Detached","Coupler Attached","Host Connected","End Of File"
05/21/2019 01:19:44 PM,29.190,,,,
05/21/2019 01:21:59 PM,,Logged,,,
05/21/2019 01:22:43 PM,,,Logged,,
05/21/2019 01:22:44 PM,,Logged,,,
05/21/2019 02:19:44 PM,25.987,,,,
05/21/2019 03:19:44 PM,28.048,,,,
05/21/2019 04:19:44 PM,28.543,,,,
05/21/2019 05:19:44 PM,28.990,,,,
05/21/2019 06:19:44 PM,28.965,,,,
05/21/2019 07:19:44 PM,24.339,,,,
05/21/2019 08:19:44 PM,22.776,,,,
05/21/2019 09:19:44 PM,21.843,,,,
05/21/2019 10:19:44 PM,21.294,,,,
05/21/2019 11:19:44 PM,20.984,,,,
05/22/2019 12:19:44 AM,20.770,,,,
05/22/2019 01:19:44 AM,20.579,,,,
05/22/2019 02:19:44 AM,20.460,,,,
05/22/2019 03:19:44 AM,20.460,,,,
05/22/2019 04:19:44 AM,20.436,,,,
05/22/2019 05:19:44 AM,20.436,,,,
05/22/2019 06:19:44 AM,20.412,,,,
05/22/2019 07:19:44 AM,21.127,,,,
05/22/2019 08:19:44 AM,25.987,,,,
05/22/2019 09:19:44 AM,24.074,,,,
05/22/2019 10:19:44 AM,24.895,,,,
05/22/2019 11:19:44 AM,20.507,,,,
05/22/2019 12:15:55 PM,,,Logged,,
05/22/2019 12:16:03 PM,,,,Logged,
05/22/2019 12:16:29 PM,,Logged,,,
05/22/2019 12:19:44 PM,15.843,,,,
05/22/2019 01:19:44 PM,16.796,,,,
05/22/2019 02:19:44 PM,23.905,,,,
05/22/2019 03:19:44 PM,18.461,,,,
05/22/2019 04:19:44 PM,20.841,,,,
05/22/2019 05:19:44 PM,18.390,,,,
05/22/2019 06:19:44 PM,16.153,,,,
05/22/2019 07:19:44 PM,13.401,,,,
05/22/2019 08:19:44 PM,9.188,,,,
05/22/2019 09:19:44 PM,6.560,,,,
05/22/2019 10:19:44 PM,5.411,,,,
05/22/2019 11:19:44 PM,4.584,,,,
05/23/2019 12:19:44 AM,3.906,,,,
05/23/2019 01:19:44 AM,3.301,,,,
05/23/2019 02:19:44 AM,2.664,,,,
05/23/2019 03:19:44 AM,2.584,,,,
05/23/2019 04:19:44 AM,2.182,,,,
05/23/2019 05:19:44 AM,1.940,,,,
05/23/2019 06:19:44 AM,1.886,,,,
05/23/2019 07:19:44 AM,2.370,,,,
05/23/2019 08:19:44 AM,3.009,,,,
05/23/2019 09:19:44 AM,4.454,,,,
05/23/2019 10:19:44 AM,6.889,,,,
05/23/2019 11:19:44 AM,22.489,,,,
05/23/2019 12:19:44 PM,32.691,,,,
05/23/2019 01:19:44 PM,28.866,,,,
05/23/2019 02:19:44 PM,22.753,,,,
05/23/2019 03:19:44 PM,27.136,,,,
05/23/2019 04:19:44 PM,25.890,,,,
05/23/2019 05:19:44 PM,21.939,,,,
05/23/2019 06:19:44 PM,27.899,,,,
05/23/2019 07:19:44 PM,23.136,,,,
05/23/2019 08:19:44 PM,14.361,,,,
05/23/2019 09:19:44 PM,11.102,,,,
05/23/2019 10:19:44 PM,8.841,,,,
05/23/2019 11:19:44 PM,7.670,,,,
05/24/2019 12:19:44 AM,6.051,,,,
05/24/2019 01:19:44 AM,5.565,,,,
05/24/2019 02:19:44 AM,5.154,,,,
05/24/2019 03:19:44 AM,4.818,,,,
05/24/2019 04:19:44 AM,4.168,,,,
05/24/2019 05:19:44 AM,3.775,,,,
05/24/2019 06:19:44 AM,3.827,,,,
05/24/2019 07:19:44 AM,4.714,,,,
05/24/2019 08:19:44 AM,8.045,,,,
05/24/2019 09:19:44 AM,11.419,,,,
05/24/2019 10:19:44 AM,14.721,,,,
05/24/2019 11:19:44 AM,22.657,,,,
05/24/2019 12:19:44 PM,29.464,,,,
05/24/2019 01:19:44 PM,31.663,,,,
05/24/2019 02:19:44 PM,32.898,,,,
05/24/2019 03:19:44 PM,31.561,,,,
05/24/2019 04:19:44 PM,30.243,,,,
05/24/2019 05:19:44 PM,25.963,,,,
05/24/2019 06:19:44 PM,26.500,,,,
05/24/2019 07:19:44 PM,17.439,,,,
05/24/2019 08:19:44 PM,11.856,,,,
05/24/2019 09:19:44 PM,9.977,,,,
05/24/2019 10:19:44 PM,8.220,,,,
05/24/2019 11:19:44 PM,7.293,,,,
05/25/2019 12:19:44 AM,6.128,,,,
05/25/2019 01:19:44 AM,5.334,,,,
05/25/2019 02:19:44 AM,4.220,,,,
05/25/2019 03:19:44 AM,3.538,,,,
05/25/2019 04:19:44 AM,3.142,,,,
05/25/2019 05:19:44 AM,2.850,,,,
05/25/2019 06:19:44 AM,2.610,,,,
05/25/2019 07:19:44 AM,2.877,,,,
05/25/2019 08:19:44 AM,3.089,,,,
05/25/2019 09:19:44 AM,3.906,,,,
05/25/2019 10:19:44 AM,6.204,,,,
05/25/2019 11:19:44 AM,21.867,,,,
05/25/2019 12:19:44 PM,30.672,,,,
05/25/2019 01:19:44 PM,37.425,,,,
05/25/2019 02:19:44 PM,31.637,,,,
05/25/2019 03:19:44 PM,32.278,,,,
05/25/2019 04:19:44 PM,31.255,,,,
05/25/2019 05:19:44 PM,20.674,,,,
05/25/2019 06:19:44 PM,15.079,,,,
05/25/2019 07:19:44 PM,13.690,,,,
05/25/2019 08:19:44 PM,10.296,,,,
05/25/2019 09:19:44 PM,8.295,,,,
05/25/2019 10:19:44 PM,6.990,,,,
05/25/2019 11:19:44 PM,5.591,,,,
05/26/2019 12:19:44 AM,5.770,,,,
05/26/2019 01:19:44 AM,4.272,,,,
05/26/2019 02:19:44 AM,3.670,,,,
05/26/2019 03:19:44 AM,3.854,,,,
05/26/2019 04:19:44 AM,2.823,,,,
05/26/2019 05:19:44 AM,2.396,,,,
05/26/2019 06:19:44 AM,2.262,,,,
05/26/2019 07:19:44 AM,2.770,,,,
05/26/2019 08:19:44 AM,3.958,,,,
05/26/2019 09:19:44 AM,4.584,,,,
05/26/2019 10:19:44 AM,7.268,,,,
05/26/2019 11:19:44 AM,22.657,,,,
05/26/2019 12:19:44 PM,31.306,,,,
05/26/2019 01:19:44 PM,30.343,,,,
05/26/2019 02:19:44 PM,31.382,,,,
05/26/2019 03:19:44 PM,37.535,,,,
05/26/2019 04:19:44 PM,37.590,,,,
05/26/2019 05:19:44 PM,36.606,,,,
05/26/2019 06:19:44 PM,30.520,,,,
05/26/2019 07:19:44 PM,23.376,,,,
05/26/2019 08:19:44 PM,13.257,,,,
05/26/2019 09:19:44 PM,9.213,,,,
05/26/2019 10:19:44 PM,7.419,,,,
05/26/2019 11:19:44 PM,6.230,,,,
05/27/2019 12:19:44 AM,5.591,,,,
05/27/2019 01:19:44 AM,5.128,,,,
05/27/2019 02:19:44 AM,4.688,,,,
05/27/2019 03:19:44 AM,4.584,,,,
05/27/2019 04:19:44 AM,4.428,,,,
05/27/2019 05:19:44 AM,4.220,,,,
05/27/2019 06:19:44 AM,3.958,,,,
05/27/2019 07:19:44 AM,4.194,,,,
05/27/2019 08:19:44 AM,4.895,,,,
05/27/2019 09:19:44 AM,5.745,,,,
05/27/2019 10:19:44 AM,8.668,,,,
05/27/2019 11:19:44 AM,25.234,,,,
05/27/2019 12:19:44 PM,35.743,,,,
05/27/2019 01:19:44 PM,41.502,,,,
05/27/2019 02:19:44 PM,44.999,,,,
05/27/2019 03:19:44 PM,38.560,,,,
05/27/2019 04:19:44 PM,33.391,,,,
05/27/2019 05:19:44 PM,32.278,,,,
05/27/2019 06:19:44 PM,25.987,,,,
05/27/2019 07:19:44 PM,19.579,,,,
05/27/2019 08:19:44 PM,14.745,,,,
05/27/2019 09:19:44 PM,11.613,,,,
05/27/2019 10:19:44 PM,10.026,,,,
05/27/2019 11:19:44 PM,9.015,,,,
05/28/2019 12:19:44 AM,8.295,,,,
05/28/2019 01:19:44 AM,7.116,,,,
05/28/2019 02:19:44 AM,6.458,,,,
05/28/2019 03:19:44 AM,5.847,,,,
05/28/2019 04:19:44 AM,5.282,,,,
05/28/2019 05:19:44 AM,4.844,,,,
05/28/2019 06:19:44 AM,5.642,,,,
05/28/2019 07:19:44 AM,6.458,,,,
05/28/2019 08:19:44 AM,6.484,,,,
05/28/2019 09:19:44 AM,7.066,,,,
05/28/2019 10:19:44 AM,9.805,,,,
05/28/2019 11:19:44 AM,25.890,,,,
05/28/2019 12:19:44 PM,36.824,,,,
05/28/2019 01:19:44 PM,44.073,,,,
05/28/2019 02:19:44 PM,45.436,,,,
05/28/2019 03:19:44 PM,45.092,,,,
05/28/2019 04:19:44 PM,43.465,,,,
05/28/2019 05:19:44 PM,41.385,,,,
05/28/2019 06:19:44 PM,36.661,,,,
05/28/2019 07:19:44 PM,29.365,,,,
05/28/2019 08:19:44 PM,19.865,,,,
05/28/2019 09:19:44 PM,15.270,,,,
05/28/2019 10:19:44 PM,12.485,,,,
05/28/2019 11:19:44 PM,10.516,,,,
05/29/2019 12:19:44 AM,9.139,,,,
05/29/2019 01:19:44 AM,8.295,,,,
05/29/2019 02:19:44 AM,7.368,,,,
05/29/2019 03:19:44 AM,6.687,,,,
05/29/2019 04:19:44 AM,6.000,,,,
05/29/2019 05:19:44 AM,5.719,,,,
05/29/2019 06:19:44 AM,5.565,,,,
05/29/2019 07:19:44 AM,6.509,,,,
05/29/2019 08:19:44 AM,7.368,,,,
05/29/2019 09:19:44 AM,8.270,,,,
05/29/2019 10:19:44 AM,9.780,,,,
05/29/2019 11:19:44 AM,26.061,,,,
05/29/2019 12:19:44 PM,37.370,,,,
05/29/2019 01:19:44 PM,42.505,,,,
05/29/2019 02:19:44 PM,45.279,,,,
05/29/2019 03:19:44 PM,46.194,,,,
05/29/2019 04:19:44 PM,44.226,,,,
05/29/2019 05:19:44 PM,40.833,,,,
05/29/2019 06:19:44 PM,35.850,,,,
05/29/2019 07:19:44 PM,28.990,,,,
05/29/2019 08:19:44 PM,17.629,,,,
05/29/2019 09:19:44 PM,12.920,,,,
05/29/2019 10:19:44 PM,10.320,,,,
05/29/2019 11:19:44 PM,8.742,,,,
05/30/2019 12:19:44 AM,7.318,,,,
05/30/2019 01:19:44 AM,6.509,,,,
05/30/2019 02:19:44 AM,5.796,,,,
05/30/2019 03:19:44 AM,5.179,,,,
05/30/2019 04:19:44 AM,4.818,,,,
05/30/2019 05:19:44 AM,4.350,,,,
05/30/2019 06:19:44 AM,4.376,,,,
05/30/2019 07:19:44 AM,4.844,,,,
05/30/2019 08:19:44 AM,5.796,,,,
05/30/2019 09:19:44 AM,7.066,,,,
05/30/2019 10:19:44 AM,9.361,,,,
05/30/2019 11:19:44 AM,26.353,,,,
05/30/2019 12:19:44 PM,37.453,,,,
05/30/2019 01:19:44 PM,43.374,,,,
05/30/2019 02:19:44 PM,47.092,,,,
05/30/2019 03:19:44 PM,47.810,,,,
05/30/2019 04:19:44 PM,45.311,,,,
05/30/2019 05:19:44 PM,40.372,,,,
05/30/2019 06:19:44 PM,34.995,,,,
05/30/2019 07:19:44 PM,28.692,,,,
05/30/2019 08:19:44 PM,18.533,,,,
05/30/2019 09:19:44 PM,13.305,,,,
05/30/2019 10:19:44 PM,10.956,,,,
05/30/2019 11:19:44 PM,9.213,,,,
05/31/2019 12:19:44 AM,7.820,,,,
05/31/2019 01:19:44 AM,6.737,,,,
05/31/2019 02:19:44 AM,5.668,,,,
05/31/2019 03:19:44 AM,4.921,,,,
05/31/2019 04:19:44 AM,4.766,,,,
05/31/2019 05:19:44 AM,4.506,,,,
05/31/2019 06:19:44 AM,4.480,,,,
05/31/2019 07:19:44 AM,4.714,,,,
05/31/2019 08:19:44 AM,5.154,,,,
05/31/2019 09:19:44 AM,6.306,,,,
05/31/2019 10:19:44 AM,8.593,,,,
05/31/2019 11:19:44 AM,25.162,,,,
05/31/2019 12:19:44 PM,36.769,,,,
05/31/2019 01:19:44 PM,43.163,,,,
05/31/2019 02:19:44 PM,45.624,,,,
05/31/2019 03:19:44 PM,45.940,,,,
05/31/2019 04:19:44 PM,45.092,,,,
05/31/2019 05:19:44 PM,42.119,,,,
05/31/2019 06:19:44 PM,37.398,,,,
05/31/2019 07:19:44 PM,30.293,,,,
05/31/2019 08:19:44 PM,19.627,,,,
05/31/2019 09:19:44 PM,14.050,,,,
05/31/2019 10:19:44 PM,11.053,,,,
05/31/2019 11:19:44 PM,9.064,,,,
06/01/2019 12:19:44 AM,7.544,,,,
06/01/2019 01:19:44 AM,6.813,,,,
06/01/2019 02:19:44 AM,6.000,,,,
06/01/2019 03:19:44 AM,4.973,,,,
06/01/2019 04:19:44 AM,4.454,,,,
06/01/2019 05:19:44 AM,4.037,,,,
06/01/2019 06:19:44 AM,3.538,,,,
06/01/2019 07:19:44 AM,4.141,,,,
06/01/2019 08:19:44 AM,4.610,,,,
06/01/2019 09:19:44 AM,5.872,,,,
06/01/2019 10:19:44 AM,8.792,,,,
06/01/2019 11:19:44 AM,25.647,,,,
06/01/2019 12:19:44 PM,36.796,,,,
06/01/2019 01:19:44 PM,43.677,,,,
06/01/2019 02:19:44 PM,47.744,,,,
06/01/2019 03:19:44 PM,48.905,,,,
06/01/2019 04:19:44 PM,48.338,,,,
06/01/2019 05:19:44 PM,44.534,,,,
06/01/2019 06:19:44 PM,37.949,,,,
06/01/2019 07:19:44 PM,30.824,,,,
06/01/2019 08:19:44 PM,19.627,,,,
06/01/2019 09:19:44 PM,14.337,,,,
06/01/2019 10:19:44 PM,11.637,,,,
06/01/2019 11:19:44 PM,10.149,,,,
06/02/2019 12:19:44 AM,8.792,,,,
06/02/2019 01:19:44 AM,7.945,,,,
06/02/2019 02:19:44 AM,7.167,,,,
06/02/2019 03:19:44 AM,6.331,,,,
06/02/2019 04:19:44 AM,5.257,,,,
06/02/2019 05:19:44 AM,5.257,,,,
06/02/2019 06:19:44 AM,5.308,,,,
06/02/2019 07:19:44 AM,5.693,,,,
06/02/2019 08:19:44 AM,6.102,,,,
06/02/2019 09:19:44 AM,6.864,,,,
06/02/2019 10:19:44 AM,9.040,,,,
06/02/2019 11:19:44 AM,24.315,,,,
06/02/2019 12:19:44 PM,38.032,,,,
06/02/2019 01:19:44 PM,44.905,,,,
06/02/2019 02:19:44 PM,47.613,,,,
06/02/2019 03:19:44 PM,49.785,,,,
06/02/2019 04:19:44 PM,46.866,,,,
06/02/2019 05:19:44 PM,44.135,,,,
06/02/2019 06:19:44 PM,39.346,,,,
06/02/2019 07:19:44 PM,33.861,,,,
06/02/2019 08:19:44 PM,22.729,,,,
06/02/2019 09:19:44 PM,16.987,,,,
06/02/2019 10:19:44 PM,13.642,,,,
06/02/2019 11:19:44 PM,11.419,,,,
06/03/2019 12:19:44 AM,10.100,,,,
06/03/2019 01:19:44 AM,8.941,,,,
06/03/2019 02:19:44 AM,8.319,,,,
06/03/2019 03:19:44 AM,8.145,,,,
06/03/2019 04:19:44 AM,7.920,,,,
06/03/2019 05:19:44 AM,7.419,,,,
06/03/2019 06:19:44 AM,7.167,,,,
06/03/2019 07:19:44 AM,7.318,,,,
06/03/2019 08:19:44 AM,7.619,,,,
06/03/2019 09:19:44 AM,8.891,,,,
06/03/2019 10:19:44 AM,10.932,,,,
06/03/2019 11:19:44 AM,24.050,,,,
06/03/2019 12:19:44 PM,36.633,,,,
06/03/2019 01:19:44 PM,38.143,,,,
06/03/2019 02:19:44 PM,41.298,,,,
06/03/2019 03:19:44 PM,35.555,,,,
06/03/2019 04:19:44 PM,39.743,,,,
06/03/2019 05:19:44 PM,41.181,,,,
06/03/2019 06:19:44 PM,36.444,,,,
06/03/2019 07:19:44 PM,30.343,,,,
06/03/2019 08:19:44 PM,22.058,,,,
06/03/2019 09:19:44 PM,16.463,,,,
06/03/2019 10:19:44 PM,13.618,,,,
06/03/2019 11:19:44 PM,11.613,,,,
06/04/2019 12:19:44 AM,10.296,,,,
06/04/2019 01:19:44 AM,9.238,,,,
06/04/2019 02:19:44 AM,8.120,,,,
06/04/2019 03:19:44 AM,7.242,,,,
06/04/2019 04:19:44 AM,6.153,,,,
06/04/2019 05:19:44 AM,5.024,,,,
06/04/2019 06:19:44 AM,4.714,,,,
