"Plot Title: P3-1"
"Date Time, GMT+02:00","Temp, °C (SEN S/N: 9761924)","Coupler Detached","Coupler Attached","Host Connected","Bad Battery","End Of File"
05/02/2017 12:37:44 PM,25.186,,,,,
05/02/2017 12:37:55 PM,,Logged,,,,
05/02/2017 12:51:54 PM,,,Logged,Logged,,
05/02/2017 12:52:08 PM,,Logged,,,,
05/02/2017 01:37:44 PM,24.532,,,,,
05/02/2017 02:37:44 PM,24.726,,,,,
05/02/2017 03:37:44 PM,24.702,,,,,
05/02/2017 04:37:44 PM,24.798,,,,,
05/02/2017 05:37:44 PM,24.847,,,,,
05/02/2017 06:37:44 PM,24.557,,,,,
05/02/2017 07:37:44 PM,24.291,,,,,
05/02/2017 08:37:44 PM,24.050,,,,,
05/02/2017 09:37:44 PM,23.761,,,,,
05/02/2017 10:37:44 PM,23.472,,,,,
05/02/2017 11:37:44 PM,23.232,,,,,
05/03/2017 12:37:44 AM,23.040,,,,,
05/03/2017 01:37:44 AM,22.872,,,,,
05/03/2017 02:37:44 AM,22.729,,,,,
05/03/2017 03:37:44 AM,22.609,,,,,
05/03/2017 04:37:44 AM,22.465,,,,,
05/03/2017 05:37:44 AM,22.321,,,,,
05/03/2017 06:37:44 AM,22.178,,,,,
05/03/2017 07:37:44 AM,22.058,,,,,
05/03/2017 08:37:44 AM,22.489,,,,,
05/03/2017 09:37:44 AM,21.127,,,,,
05/03/2017 10:37:44 AM,20.222,,,,,
05/03/2017 11:37:44 AM,25.963,,,,,
05/03/2017 12:37:44 PM,23.881,,,,,
05/03/2017 01:37:44 PM,29.590,,,,,
05/03/2017 02:37:44 PM,27.481,,,,,
05/03/2017 03:37:44 PM,31.281,,,,,
05/03/2017 04:37:44 PM,27.628,,,,,
05/03/2017 05:37:44 PM,28.841,,,,,
05/03/2017 06:37:44 PM,25.817,,,,,
05/03/2017 07:37:44 PM,24.944,,,,,
05/03/2017 08:37:44 PM,24.532,,,,,
05/03/2017 09:37:44 PM,24.171,,,,,
05/03/2017 10:37:44 PM,23.881,,,,,
05/03/2017 11:37:44 PM,23.641,,,,,
05/04/2017 12:37:44 AM,23.448,,,,,
05/04/2017 01:37:44 AM,23.280,,,,,
05/04/2017 02:37:44 AM,23.112,,,,,
05/04/2017 03:37:44 AM,22.968,,,,,
05/04/2017 04:37:44 AM,22.800,,,,,
05/04/2017 05:37:44 AM,22.657,,,,,
05/04/2017 06:37:44 AM,22.537,,,,,
05/04/2017 07:37:44 AM,22.465,,,,,
05/04/2017 08:37:44 AM,22.681,,,,,
05/04/2017 09:37:44 AM,22.896,,,,,
05/04/2017 10:37:44 AM,23.400,,,,,
05/04/2017 11:37:44 AM,24.412,,,,,
05/04/2017 12:37:44 PM,24.968,,,,,
05/04/2017 01:37:44 PM,25.234,,,,,
05/04/2017 02:37:44 PM,25.623,,,,,
05/04/2017 03:37:44 PM,25.793,,,,,
05/04/2017 04:37:44 PM,25.355,,,,,
05/04/2017 05:37:44 PM,25.258,,,,,
05/04/2017 06:37:44 PM,25.234,,,,,
05/04/2017 07:37:44 PM,25.162,,,,,
05/04/2017 08:37:44 PM,24.944,,,,,
05/04/2017 09:37:44 PM,24.702,,,,,
05/04/2017 10:37:44 PM,24.484,,,,,
05/04/2017 11:37:44 PM,24.291,,,,,
05/05/2017 12:37:44 AM,24.122,,,,,
05/05/2017 01:37:44 AM,23.978,,,,,
05/05/2017 02:37:44 AM,23.857,,,,,
05/05/2017 03:37:44 AM,23.761,,,,,
05/05/2017 04:37:44 AM,23.665,,,,,
05/05/2017 05:37:44 AM,23.569,,,,,
05/05/2017 06:37:44 AM,23.472,,,,,
05/05/2017 07:37:44 AM,23.400,,,,,
05/05/2017 08:37:44 AM,23.521,,,,,
05/05/2017 09:37:44 AM,23.761,,,,,
05/05/2017 10:37:44 AM,22.968,,,,,
05/05/2017 11:37:44 AM,21.032,,,,,
05/05/2017 12:37:44 PM,41.531,,,,,
05/05/2017 01:37:44 PM,22.274,,,,,
05/05/2017 02:37:44 PM,11.783,,,,,
05/05/2017 03:37:44 PM,13.112,,,,,
05/05/2017 04:37:44 PM,16.201,,,,,
05/05/2017 05:37:44 PM,20.341,,,,,
05/05/2017 06:37:44 PM,12.195,,,,,
05/05/2017 07:37:44 PM,10.614,,,,,
05/05/2017 08:37:44 PM,9.336,,,,,
05/05/2017 09:37:44 PM,8.941,,,,,
05/05/2017 10:37:44 PM,8.070,,,,,
05/05/2017 11:37:44 PM,7.268,,,,,
05/06/2017 12:37:44 AM,6.813,,,,,
05/06/2017 01:37:44 AM,6.712,,,,,
05/06/2017 02:37:44 AM,6.458,,,,,
05/06/2017 03:37:44 AM,6.026,,,,,
05/06/2017 04:37:44 AM,5.796,,,,,
05/06/2017 05:37:44 AM,5.488,,,,,
05/06/2017 06:37:44 AM,5.205,,,,,
05/06/2017 07:37:44 AM,5.076,,,,,
05/06/2017 08:37:44 AM,5.154,,,,,
05/06/2017 09:37:44 AM,5.693,,,,,
05/06/2017 10:37:44 AM,6.458,,,,,
05/06/2017 11:37:44 AM,7.318,,,,,
05/06/2017 12:37:44 PM,8.444,,,,,
05/06/2017 01:37:44 PM,10.198,,,,,
05/06/2017 02:37:44 PM,11.370,,,,,
05/06/2017 03:37:44 PM,13.112,,,,,
05/06/2017 04:37:44 PM,16.487,,,,,
05/06/2017 05:37:44 PM,23.136,,,,,
05/06/2017 06:37:44 PM,21.819,,,,,
05/06/2017 07:37:44 PM,19.080,,,,,
05/06/2017 08:37:44 PM,12.340,,,,,
05/06/2017 09:37:44 PM,9.879,,,,,
05/06/2017 10:37:44 PM,8.965,,,,,
05/06/2017 11:37:44 PM,8.145,,,,,
05/07/2017 12:37:44 AM,7.695,,,,,
05/07/2017 01:37:44 AM,7.293,,,,,
05/07/2017 02:37:44 AM,6.940,,,,,
05/07/2017 03:37:44 AM,6.661,,,,,
05/07/2017 04:37:44 AM,6.458,,,,,
05/07/2017 05:37:44 AM,6.179,,,,,
05/07/2017 06:37:44 AM,6.611,,,,,
05/07/2017 07:37:44 AM,6.458,,,,,
05/07/2017 08:37:44 AM,6.458,,,,,
05/07/2017 09:37:44 AM,7.217,,,,,
05/07/2017 10:37:44 AM,7.945,,,,,
05/07/2017 11:37:44 AM,9.015,,,,,
05/07/2017 12:37:44 PM,10.247,,,,,
05/07/2017 01:37:44 PM,12.147,,,,,
05/07/2017 02:37:44 PM,13.401,,,,,
05/07/2017 03:37:44 PM,15.270,,,,,
05/07/2017 04:37:44 PM,17.296,,,,,
05/07/2017 05:37:44 PM,24.098,,,,,
05/07/2017 06:37:44 PM,24.532,,,,,
05/07/2017 07:37:44 PM,21.987,,,,,
05/07/2017 08:37:44 PM,13.666,,,,,
05/07/2017 09:37:44 PM,11.370,,,,,
05/07/2017 10:37:44 PM,10.222,,,,,
05/07/2017 11:37:44 PM,9.657,,,,,
05/08/2017 12:37:44 AM,9.015,,,,,
05/08/2017 01:37:44 AM,8.693,,,,,
05/08/2017 02:37:44 AM,8.319,,,,,
05/08/2017 03:37:44 AM,7.945,,,,,
05/08/2017 04:37:44 AM,7.720,,,,,
05/08/2017 05:37:44 AM,7.368,,,,,
05/08/2017 06:37:44 AM,7.015,,,,,
05/08/2017 07:37:44 AM,7.091,,,,,
05/08/2017 08:37:44 AM,7.343,,,,,
05/08/2017 09:37:44 AM,8.020,,,,,
05/08/2017 10:37:44 AM,8.866,,,,,
05/08/2017 11:37:44 AM,9.977,,,,,
05/08/2017 12:37:44 PM,11.224,,,,,
05/08/2017 01:37:44 PM,13.161,,,,,
05/08/2017 02:37:44 PM,14.290,,,,,
05/08/2017 03:37:44 PM,16.082,,,,,
05/08/2017 04:37:44 PM,18.628,,,,,
05/08/2017 05:37:44 PM,25.210,,,,,
05/08/2017 06:37:44 PM,25.647,,,,,
05/08/2017 07:37:44 PM,22.681,,,,,
05/08/2017 08:37:44 PM,14.361,,,,,
05/08/2017 09:37:44 PM,11.953,,,,,
05/08/2017 10:37:44 PM,10.663,,,,,
05/08/2017 11:37:44 PM,9.780,,,,,
05/09/2017 12:37:44 AM,9.903,,,,,
05/09/2017 01:37:44 AM,9.805,,,,,
05/09/2017 02:37:44 AM,9.632,,,,,
05/09/2017 03:37:44 AM,9.558,,,,,
05/09/2017 04:37:44 AM,9.534,,,,,
05/09/2017 05:37:44 AM,9.558,,,,,
05/09/2017 06:37:44 AM,9.336,,,,,
05/09/2017 07:37:44 AM,9.410,,,,,
05/09/2017 08:37:44 AM,9.509,,,,,
05/09/2017 09:37:44 AM,10.173,,,,,
05/09/2017 10:37:44 AM,10.614,,,,,
05/09/2017 11:37:44 AM,11.565,,,,,
05/09/2017 12:37:44 PM,12.582,,,,,
05/09/2017 01:37:44 PM,14.002,,,,,
05/09/2017 02:37:44 PM,15.127,,,,,
05/09/2017 03:37:44 PM,16.415,,,,,
05/09/2017 04:37:44 PM,18.295,,,,,
05/09/2017 05:37:44 PM,24.195,,,,,
05/09/2017 06:37:44 PM,23.280,,,,,
05/09/2017 07:37:44 PM,19.032,,,,,
05/09/2017 08:37:44 PM,13.449,,,,,
05/09/2017 09:37:44 PM,11.953,,,,,
05/09/2017 10:37:44 PM,10.394,,,,,
05/09/2017 11:37:44 PM,9.534,,,,,
05/10/2017 12:37:44 AM,9.015,,,,,
05/10/2017 01:37:44 AM,8.643,,,,,
05/10/2017 02:37:44 AM,8.319,,,,,
05/10/2017 03:37:44 AM,8.095,,,,,
05/10/2017 04:37:44 AM,8.020,,,,,
05/10/2017 05:37:44 AM,8.220,,,,,
05/10/2017 06:37:44 AM,8.519,,,,,
05/10/2017 07:37:44 AM,8.717,,,,,
05/10/2017 08:37:44 AM,8.767,,,,,
05/10/2017 09:37:44 AM,9.386,,,,,
05/10/2017 10:37:44 AM,10.443,,,,,
05/10/2017 11:37:44 AM,10.663,,,,,
05/10/2017 12:37:44 PM,11.370,,,,,
05/10/2017 01:37:44 PM,13.064,,,,,
05/10/2017 02:37:44 PM,13.858,,,,,
05/10/2017 03:37:44 PM,15.748,,,,,
05/10/2017 04:37:44 PM,16.534,,,,,
05/10/2017 05:37:44 PM,15.079,,,,,
05/10/2017 06:37:44 PM,12.775,,,,,
05/10/2017 07:37:44 PM,11.078,,,,,
05/10/2017 08:37:44 PM,10.001,,,,,
05/10/2017 09:37:44 PM,8.891,,,,,
05/10/2017 10:37:44 PM,8.369,,,,,
05/10/2017 11:37:44 PM,7.845,,,,,
05/11/2017 12:37:44 AM,8.319,,,,,
05/11/2017 01:37:44 AM,8.319,,,,,
05/11/2017 02:37:44 AM,7.720,,,,,
