"Plot Title: Px-1"
"Date Time, GMT+02:00","Temp, °C (SEN S/N: 9761922)","Coupler Detached","Coupler Attached","Host Connected","Bad Battery","End Of File"
04/21/2017 10:16:28 AM,24.702,,,,,
04/21/2017 10:16:38 AM,,Logged,,,,
04/21/2017 11:16:28 AM,26.256,,,,,
04/21/2017 11:21:30 AM,,,Logged,,,
04/21/2017 11:21:37 AM,,,,Logged,,
04/21/2017 11:22:43 AM,,Logged,,,,
04/21/2017 11:52:01 AM,,,Logged,Logged,,
04/21/2017 11:52:12 AM,,Logged,,,,
04/21/2017 12:16:28 PM,24.726,,,,,
04/21/2017 01:16:28 PM,24.291,,,,,
04/21/2017 02:16:28 PM,24.968,,,,,
04/21/2017 03:16:28 PM,25.065,,,,,
04/21/2017 04:16:28 PM,25.137,,,,,
04/21/2017 05:16:28 PM,25.234,,,,,
04/21/2017 06:16:28 PM,25.307,,,,,
04/21/2017 07:16:28 PM,25.258,,,,,
04/21/2017 08:16:28 PM,25.307,,,,,
04/21/2017 09:16:28 PM,25.162,,,,,
04/21/2017 10:16:28 PM,24.581,,,,,
04/21/2017 11:16:28 PM,24.195,,,,,
04/22/2017 12:16:28 AM,23.954,,,,,
04/22/2017 01:16:28 AM,23.737,,,,,
04/22/2017 02:16:28 AM,23.569,,,,,
04/22/2017 03:16:28 AM,23.424,,,,,
04/22/2017 04:16:28 AM,23.280,,,,,
04/22/2017 05:16:28 AM,23.136,,,,,
04/22/2017 06:16:28 AM,23.016,,,,,
04/22/2017 07:16:28 AM,22.872,,,,,
04/22/2017 08:16:28 AM,22.800,,,,,
04/22/2017 09:16:28 AM,23.256,,,,,
04/22/2017 10:16:28 AM,23.448,,,,,
04/22/2017 11:16:28 AM,23.785,,,,,
04/22/2017 12:16:28 PM,24.002,,,,,
04/22/2017 01:16:28 PM,24.219,,,,,
04/22/2017 02:16:28 PM,24.412,,,,,
04/22/2017 03:16:28 PM,24.532,,,,,
04/22/2017 04:16:28 PM,24.702,,,,,
04/22/2017 05:16:28 PM,24.944,,,,,
04/22/2017 06:16:28 PM,24.968,,,,,
04/22/2017 07:16:28 PM,24.968,,,,,
04/22/2017 08:16:28 PM,24.823,,,,,
04/22/2017 09:16:28 PM,24.532,,,,,
04/22/2017 10:16:28 PM,24.291,,,,,
04/22/2017 11:16:28 PM,24.098,,,,,
04/23/2017 12:16:28 AM,23.954,,,,,
04/23/2017 01:16:28 AM,23.833,,,,,
04/23/2017 02:16:28 AM,23.713,,,,,
04/23/2017 03:16:28 AM,23.569,,,,,
04/23/2017 04:16:28 AM,23.424,,,,,
04/23/2017 05:16:28 AM,23.328,,,,,
04/23/2017 06:16:28 AM,23.232,,,,,
04/23/2017 07:16:28 AM,23.136,,,,,
04/23/2017 08:16:28 AM,23.088,,,,,
04/23/2017 09:16:28 AM,23.208,,,,,
04/23/2017 10:16:28 AM,23.569,,,,,
04/23/2017 11:16:28 AM,23.978,,,,,
04/23/2017 12:16:28 PM,24.267,,,,,
04/23/2017 01:16:28 PM,24.532,,,,,
04/23/2017 02:16:28 PM,24.702,,,,,
04/23/2017 03:16:28 PM,24.798,,,,,
04/23/2017 04:16:28 PM,24.944,,,,,
04/23/2017 05:16:28 PM,25.162,,,,,
04/23/2017 06:16:28 PM,25.258,,,,,
04/23/2017 07:16:28 PM,25.186,,,,,
04/23/2017 08:16:28 PM,24.968,,,,,
04/23/2017 09:16:28 PM,24.677,,,,,
04/23/2017 10:16:28 PM,24.412,,,,,
04/23/2017 11:16:28 PM,24.195,,,,,
04/24/2017 12:16:28 AM,24.050,,,,,
04/24/2017 01:16:28 AM,23.930,,,,,
04/24/2017 02:16:28 AM,23.785,,,,,
04/24/2017 03:16:28 AM,23.665,,,,,
04/24/2017 04:16:28 AM,23.521,,,,,
04/24/2017 05:16:28 AM,23.400,,,,,
04/24/2017 06:16:28 AM,23.280,,,,,
04/24/2017 07:16:28 AM,23.424,,,,,
04/24/2017 08:16:28 AM,21.032,,,,,
04/24/2017 09:16:28 AM,20.603,,,,,
04/24/2017 10:16:28 AM,20.293,,,,,
04/24/2017 11:16:28 AM,19.912,,,,,
04/24/2017 12:16:28 PM,19.175,,,,,
04/24/2017 01:16:28 PM,20.841,,,,,
04/24/2017 02:16:28 PM,23.593,,,,,
04/24/2017 03:16:28 PM,10.100,,,,,
04/24/2017 04:16:28 PM,8.519,,,,,
04/24/2017 05:16:28 PM,9.509,,,,,
04/24/2017 06:16:28 PM,9.903,,,,,
04/24/2017 07:16:28 PM,8.195,,,,,
04/24/2017 08:16:28 PM,7.368,,,,,
04/24/2017 09:16:28 PM,7.015,,,,,
04/24/2017 10:16:28 PM,6.687,,,,,
04/24/2017 11:16:28 PM,6.433,,,,,
04/25/2017 12:16:28 AM,6.153,,,,,
04/25/2017 01:16:28 AM,6.000,,,,,
04/25/2017 02:16:28 AM,5.898,,,,,
04/25/2017 03:16:28 AM,5.334,,,,,
04/25/2017 04:16:28 AM,5.282,,,,,
04/25/2017 05:16:28 AM,5.282,,,,,
04/25/2017 06:16:28 AM,5.385,,,,,
04/25/2017 07:16:28 AM,5.462,,,,,
04/25/2017 08:16:28 AM,5.385,,,,,
04/25/2017 09:16:28 AM,4.818,,,,,
04/25/2017 10:16:28 AM,5.076,,,,,
04/25/2017 11:16:28 AM,5.539,,,,,
04/25/2017 12:16:28 PM,6.509,,,,,
04/25/2017 01:16:28 PM,7.469,,,,,
